pos_dic,Up,Down,total,Polarity Score,Polarity
주거지/NNG,41,13,54,2.056402857730121,Hawkish
탐방/NNG,31,15,46,1.3475290270979492,Hawkish
시설자금/NNG,70,14,84,3.260150872011168,Hawkish
먹히/VV,17,6,23,1.847418827472995,Hawkish
하락/NNG;막/VV,17,7,24,1.58350185211971,Hawkish
이성/NNG,17,2,19,5.542256482418985,Hawkish
재고관리/NNG,17,4,21,2.7711282412094924,Hawkish
하방/NNG;경직/NNG,27,7,34,2.514973529837186,Hawkish
집값/NNG;안정/NNG,16,8,24,1.304060348804467,Hawkish
만류/NNG,14,6,20,1.521403740271878,Hawkish
전세난/NNG,21,5,26,2.738526732489381,Hawkish
풋옵션/NNG,52,17,69,1.9944452393480083,Hawkish
의욕/NNG,13,5,18,1.6952784534458072,Hawkish
챗봇/NNG,38,14,52,1.7697961876632051,Hawkish
원가/NNG,467,183,650,1.6639239969718198,Hawkish
백스/NNG,26,1,27,16.952784534458072,Hawkish
초고령사회/NNG,14,7,21,1.3040603488044669,Hawkish
시상식/NNG,18,1,19,11.736543139240204,Hawkish
원료/NNG,87,38,125,1.4928059256051136,Hawkish
영업이익/NNG;늘/VV,77,34,111,1.4766565714403523,Hawkish
인턴/NNG,19,2,21,6.194286656821219,Hawkish
남궁/NNG,16,1,17,10.432482790435737,Hawkish
대표주/NNG,14,6,20,1.521403740271878,Hawkish
상용화/NNG,50,16,66,2.03759429500698,Hawkish
제쳤/VV,21,3,24,4.564211220815635,Hawkish
뉘앙스/NNG,18,9,27,1.3040603488044669,Hawkish
비치/NNG,17,4,21,2.7711282412094924,Hawkish
고금리/NNG,4608,1955,6563,1.5368567998186655,Hawkish
마침내/MAG,26,10,36,1.6952784534458072,Hawkish
메이/NNG,24,5,29,3.1297448371307204,Hawkish
임대차/NNG,474,208,682,1.485876455128167,Hawkish
기대/NNG;상회/NNG,21,8,29,1.7115792078058631,Hawkish
안착/NNG,237,99,336,1.56092072053868,Hawkish
동그라미/NNG,18,2,20,5.868271569620101,Hawkish
발행조건/NNG,18,3,21,3.912181046413401,Hawkish
인산철/NNG,13,5,18,1.6952784534458072,Hawkish
임업/NNG,13,5,18,1.6952784534458072,Hawkish
소비자/NNG;물가/NNG;오르/VV,35,11,46,2.0746414640071067,Hawkish
드러나/VV,275,136,411,1.3184433673574574,Hawkish
금융시장/NNG;변동성/NNG;확대/NNG,74,22,96,2.1931924048075127,Hawkish
변동성/NNG;확대/NNG,167,76,243,1.4327505148049078,Hawkish
금융업계/NNG,100,31,131,2.1033231432330117,Hawkish
인플레이션/NNG;낮/VV,27,11,38,1.600437700805482,Hawkish
상환금/NNG,16,3,19,3.477494263478579,Hawkish
커머스/NNG,191,81,272,1.5375032507509456,Hawkish
급물살/NNG,16,5,21,2.0864965580871475,Hawkish
